2021-04-26 13:28:04,569 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.STEP_FORWARD.
2021-04-26 13:28:04,569 | DEBUG | arenas.step_forward:108 | Champion BotElkaZ nami na pewno zdasz entered tile Coords(x=66, y=10).
2021-04-26 13:28:04,601 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:04,601 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.UP.
2021-04-26 13:28:04,645 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:04,645 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.RIGHT.
2021-04-26 13:28:04,798 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:04,798 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=41).
2021-04-26 13:28:04,838 | DEBUG | games._environment_action:75 | Starting episode 8.
2021-04-26 13:28:04,880 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.STEP_FORWARD.
2021-04-26 13:28:04,880 | DEBUG | arenas.step_forward:108 | Champion ClaretWolfController entered tile Coords(x=44, y=74).
2021-04-26 13:28:04,920 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:04,920 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=48).
2021-04-26 13:28:04,975 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:04,976 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.UP.
2021-04-26 13:28:05,037 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_LEFT.
2021-04-26 13:28:05,038 | DEBUG | characters.turn_left:68 | Champion BBBotControllerBartek is now facing Facing.LEFT.
